Code,Description,Total area,of which is irrigated,of which is used for energy crops,"of which is
used for GMO",Opening valuation value,Closing valuation value,Production Quantity,Sales Quantity,Sales Value,Farm household consumption and benefits in kind Value,Farm use Value
_MD_Q","I_SA_40230_TC
_MD_V","I_FC_40230_TC
_MD_V","I_FU_40230_TC
_MD_V"

40290,"Other citrus
fruit","I_A_40290_TC
_MD_TA","I_A_40290_TC
_MD_IR","I_A_40290_TC
_MD_EN","I_A_40290_TC
_MD_GM","I_OV_40290_TC
_MD_V","I_CV_40290_TC
_MD_V","I_PR_40290_TC
_MD_Q","I_SA_40290_TC
_MD_Q","I_SA_40290_TC
_MD_V","I_FC_40290_TC
_MD_V","I_FU_40290_TC
_MD_V"

40310,Table olives,"I_A_40310_TC
_MD_TA","I_A_40310_TC
_MD_IR","I_A_40310_TC
_MD_EN","I_A_40310_TC
_MD_GM","I_OV_40310_TC
_MD_V","I_CV_40310_TC
_MD_V","I_PR_40310_TC
_MD_Q","I_SA_40310_TC
_MD_Q","I_SA_40310_TC
_MD_V","I_FC_40310_TC
_MD_V","I_FU_40310_TC
_MD_V"

40320,"Olives for oil
production
(sold in the
form of fruit)","I_A_40320_TC
_MD_TA","I_A_40320_TC
_MD_IR","I_A_40320_TC
_MD_EN","I_A_40320_TC
_MD_GM","I_OV_40320_TC
_MD_V","I_CV_40320_TC
_MD_V","I_PR_40320_TC
_MD_Q","I_SA_40320_TC
_MD_Q","I_SA_40320_TC
_MD_V","I_FC_40320_TC
_MD_V","I_FU_40320_TC
_MD_V"

40330,Olive oil,"I_A_40330_TC
_MD_TA","I_A_40330_TC
_MD_IR","I_A_40330_TC
_MD_EN","I_A_40330_TC
_MD_GM","I_OV_40330_TC
_MD_V","I_CV_40330_TC
_MD_V","I_PR_40330_TC
_MD_Q","I_SA_40330_TC
_MD_Q","I_SA_40330_TC
_MD_V","I_FC_40330_TC
_MD_V","I_FU_40330_TC
_MD_V"

40340,"Olive by-
products",,,,,"I_OV_40340_TC
_MD_V","I_CV_40340_TC
_MD_V","I_PR_40340_TC
_MD_Q","I_SA_40340_TC
_MD_Q","I_SA_40340_TC
_MD_V","I_FC_40340_TC
_MD_V","I_FU_40340_TC
_MD_V"

40411,"Quality wine
with protected
designation of
origin (PDO)","I_A_40411_TC
_MD_TA","I_A_40411_TC
_MD_IR","I_A_40411_TC
_MD_EN","I_A_40411_TC
_MD_GM","I_OV_40411_TC
_MD_V","I_CV_40411_TC
_MD_V","I_PR_40411_TC
_MD_Q","I_SA_40411_TC
_MD_Q","I_SA_40411_TC
_MD_V","I_FC_40411_TC
_MD_V","I_FU_40411_TC
_MD_V"

40412,"Quality wine
with protected
geographical
indication (PGI)","I_A_40412_TC
_MD_TA","I_A_40412_TC
_MD_IR","I_A_40412_TC
_MD_EN","I_A_40412_TC
_MD_GM","I_OV_40412_TC
_MD_V","I_CV_40412_TC
_MD_V","I_PR_40412_TC
_MD_Q","I_SA_40412_TC
_MD_Q","I_SA_40412_TC
_MD_V","I_FC_40412_TC
_MD_V","I_FU_40412_TC
_MD_V"

40420,Other wines,"I_A_40420_TC
_MD_TA","I_A_40420_TC
_MD_IR","I_A_40420_TC
_MD_EN","I_A_40420_TC
_MD_GM","I_OV_40420_TC
_MD_V","I_CV_40420_TC
_MD_V","I_PR_40420_TC
_MD_Q","I_SA_40420_TC
_MD_Q","I_SA_40420_TC
_MD_V","I_FC_40420_TC
_MD_V","I_FU_40420_TC
_MD_V"

40430,Table grapes,"I_A_40430_TC
_MD_TA","I_A_40430_TC
_MD_IR","I_A_40430_TC
_MD_EN","I_A_40430_TC
_MD_GM","I_OV_40430_TC
_MD_V","I_CV_40430_TC
_MD_V","I_PR_40430_TC
_MD_Q","I_SA_40430_TC
_MD_Q","I_SA_40430_TC
_MD_V","I_FC_40430_TC
_MD_V","I_FU_40430_TC
_MD_V"

40440,Raisins,"I_A_40440_TC
_MD_TA","I_A_40440_TC
_MD_IR","I_A_40440_TC
_MD_EN","I_A_40440_TC
_MD_GM","I_OV_40440_TC
_MD_V","I_CV_40440_TC
_MD_V","I_PR_40440_TC
_MD_Q","I_SA_40440_TC
_MD_Q","I_SA_40440_TC
_MD_V","I_FC_40440_TC
_MD_V","I_FU_40440_TC
_MD_V"

40451,"Grapes for
quality wine
with protected
designation of
origin (PDO)","I_A_40451_TC
_MD_TA","I_A_40451_TC
_MD_IR","I_A_40451_TC
_MD_EN","I_A_40451_TC
_MD_GM","I_OV_40451_TC
_MD_V","I_CV_40451_TC
_MD_V","I_PR_40451_TC
_MD_Q","I_SA_40451_TC
_MD_Q","I_SA_40451_TC
_MD_V","I_FC_40451_TC
_MD_V","I_FU_40451_TC
_MD_V"

40452,"Grapes for
quality wine
with protected
geographical
indication (PGI)","I_A_40452_TC
_MD_TA","I_A_40452_TC
_MD_IR","I_A_40452_TC
_MD_EN","I_A_40452_TC
_MD_GM","I_OV_40452_TC
_MD_V","I_CV_40452_TC
_MD_V","I_PR_40452_TC
_MD_Q","I_SA_40452_TC
_MD_Q","I_SA_40452_TC
_MD_V","I_FC_40452_TC
_MD_V","I_FU_40452_TC
_MD_V"

40460,"Grapes for
other wines","I_A_40460_TC
_MD_TA","I_A_40460_TC
_MD_IR","I_A_40460_TC
_MD_EN","I_A_40460_TC
_MD_GM","I_OV_40460_TC
_MD_V","I_CV_40460_TC
_MD_V","I_PR_40460_TC
_MD_Q","I_SA_40460_TC
_MD_Q","I_SA_40460_TC
_MD_V","I_FC_40460_TC
_MD_V","I_FU_40460_TC
_MD_V"

40470,"Miscellaneous
products of
vines: grape
must, juice,
brandy, vinegar
and others
produced on
the farm",,,,,"I_OV_40470_TC
_MD_V","I_CV_40470_TC
_MD_V","I_PR_40470_TC
_MD_Q","I_SA_40470_TC
_MD_Q","I_SA_40470_TC
_MD_V","I_FC_40470_TC
_MD_V","I_FU_40470_TC
_MD_V"

40480,"Vine by-
products (marc,
lees)",,,,,"I_OV_40480_TC
_MD_V","I_CV_40480_TC
_MD_V","I_PR_40480_TC
_MD_Q","I_SA_40480_TC
_MD_Q","I_SA_40480_TC
_MD_V","I_FC_40480_TC
_MD_V","I_FU_40480_TC
_MD_V"

40500,Nurseries,"I_A_40500_TC
_MD_TA","I_A_40500_TC
_MD_IR","I_A_40500_TC
_MD_EN","I_A_40500_TC
_MD_GM","I_OV_40500_TC
_MD_V","I_CV_40500_TC
_MD_V",,,"I_SA_40500_TC
_MD_V","I_FC_40500_TC
_MD_V","I_FU_40500_TC
_MD_V"

40600,"Other
permanent
crops","I_A_40600_TC
_MD_TA","I_A_40600_TC
_MD_IR","I_A_40600_TC
_MD_EN","I_A_40600_TC
_MD_GM","I_OV_40600_TC
_MD_V","I_CV_40600_TC
_MD_V",,,"I_SA_40600_TC
_MD_V","I_FC_40600_TC
_MD_V","I_FU_40600_TC
_MD_V"

40610,"of which
Christmas trees","I_A_40610_TC
_MD_TA","I_A_40610_TC
_MD_IR","I_A_40610_TC
_MD_EN","I_A_40610_TC
_MD_GM","I_OV_40610_TC
_MD_V","I_CV_40610_TC
_MD_V",,,"I_SA_40610_TC
_MD_V","I_FC_40610_TC
_MD_V","I_FU_40610_TC
_MD_V"

40700,"Permanent
crops under
glass","I_A_40700_TC
_MD_TA","I_A_40700_TC
_MD_IR","I_A_40700_TC
_MD_EN","I_A_40700_TC
_MD_GM","I_OV_40700_TC
_MD_V","I_CV_40700_TC
_MD_V",,,"I_SA_40700_TC
_MD_V","I_FC_40700_TC
_MD_V","I_FU_40700_TC
_MD_V"

40800,"Growth of
young
plantations",,,,,,"I_CV_40800_TC
_MD_V",,,,,

50100,"Unutilised
agricultural
land","I_A_50100_TC
_MD_TA",,,,,,,,,,

50200,Wooded area,"I_A_50200_TC
_MD_TA",,,,,,,,,,

50210,"of which short
rotation
coppices","I_A_50210_TC
_MD_TA","I_A_50210_TC
_MD_IR","I_A_50210_TC
_MD_EN","I_A_50210_TC
_MD_GM","I_OV_50210_TC
_MD_V","I_CV_50210_TC
_MD_V",,,"I_SA_50210_TC
_MD_V","I_FC_50210_TC
_MD_V","I_FU_50210_TC
_MD_V"

50900,"Other land:
occupied by
buildings,
farmyards,
tracks, ponds,
quarries,
infertile land,
rock, etc","I_A_50900_TC
_MD_TA",,,,,,,,,,

60000,Mushrooms,"I_A_60000_TC
_MD_TA","I_A_60000_TC
_MD_IR","I_A_60000_TC
_MD_EN","I_A_60000_TC
_MD_GM","I_OV_60000_TC
_MD_V","I_CV_60000_TC
_MD_V","I_PR_60000_TC
_MD_Q","I_SA_60000_TC
_MD_Q","I_SA_60000_TC
_MD_V","I_FC_60000_TC
_MD_V","I_FU_60000_TC
_MD_V"

90100,"Receipts from
renting out
agricultural
land","I_A_90100_TC
_MD_TA",,,,,,,,"I_SA_90100_TC
_MD_V",,

90200,"Compensation
by crop
insurance not
allocable to
specific crops",,,,,,,,,"I_SA_90200_TC
_MD_V",,

90300,"Crop by-
products other
than from
olives and vine",,,,,"I_OV_90300_TC
_MD_V","I_CV_90300_TC
_MD_V","I_PR_90300_TC
_MD_Q","I_SA_90300_TC
_MD_Q","I_SA_90300_TC
_MD_V","I_FC_90300_TC
_MD_V","I_FU_90300_TC
_MD_V"

90310,Straw,,,,,"I_OV_90310_TC
_MD_V","I_CV_90310_TC
_MD_V","I_PR_90310_TC
_MD_Q","I_SA_90310_TC
_MD_Q","I_SA_90310_TC
_MD_V","I_FC_90310_TC
_MD_V","I_FU_90310_TC
_MD_V"

90320,Sugar beet tops,,,,,"I_OV_90320_TC
_MD_V","I_CV_90320_TC
_MD_V","I_PR_90320_TC
_MD_Q","I_SA_90320_TC
_MD_Q","I_SA_90320_TC
_MD_V","I_FC_90320_TC
_MD_V","I_FU_90320_TC
_MD_V"

90330,"Other by-
products",,,,,"I_OV_90330_TC
_MD_V","I_CV_90330_TC
_MD_V","I_PR_90330_TC
_MD_Q","I_SA_90330_TC
_MD_Q","I_SA_90330_TC
_MD_V","I_FC_90330_TC
_MD_V","I_FU_90330_TC
_MD_V"

90900,Other,"I_A_90900_TC
_MD_TA","I_A_90900_TC
_MD_IR","I_A_90900_TC
_MD_EN","I_A_90900_TC
_MD_GM","I_OV_90900_TC
_MD_V","I_CV_90900_TC
_MD_V",,,"I_SA_90900_TC
_MD_V","I_FC_90900_TC
_MD_V","I_FU_90900_TC
_MD_V"

